company_id,flight_number,scheduled_departure_date_local,scheduled_departure_station_code,scheduled_arrival_station_code,scheduled_departure_datetime_local,scheduled_arrival_datetime_local,actual_departure_datetime_local,actual_arrival_datetime_local,total_seats,fleet_type,carrier,scheduled_ground_time_minutes,actual_ground_time_minutes,minimum_turn_minutes
YX,3628,11-08-2025,ORD,IND,2025-08-11T17:50:00Z,2025-08-11T20:03:00Z,2025-08-11T17:45:00Z,2025-08-11T19:54:00Z,76,ERJ-175,Express,45,38,34
OO,5564,01-08-2025,ORD,SBN,2025-08-01T14:20:00Z,2025-08-01T16:18:00Z,2025-08-01T14:29:00Z,2025-08-01T16:29:00Z,50,CRJ-550,Express,57,87,29
UA,2361,13-08-2025,ORD,LAX,2025-08-13T07:10:00Z,2025-08-13T09:40:00Z,2025-08-13T07:07:00Z,2025-08-13T09:15:00Z,234,B757-300,Mainline,662,498,66
YX,3520,05-08-2025,ORD,CVG,2025-08-05T21:16:00Z,2025-08-05T23:46:00Z,2025-08-05T21:16:00Z,2025-08-05T23:30:00Z,76,ERJ-175,Express,162,166,34
G7,4546,06-08-2025,ORD,AVP,2025-08-06T18:35:00Z,2025-08-06T21:43:00Z,2025-08-06T19:14:00Z,2025-08-06T22:06:00Z,50,CRJ-550,Express,-5,23,29
OO,5362,14-08-2025,ORD,MKE,2025-08-14T21:40:00Z,2025-08-14T22:45:00Z,2025-08-14T21:35:00Z,2025-08-14T22:20:00Z,50,CRJ-200,Express,90,66,29
OO,5251,03-08-2025,ORD,ASE,2025-08-03T19:35:00Z,2025-08-03T21:44:00Z,2025-08-03T19:43:00Z,2025-08-03T22:00:00Z,70,ERJ-175,Express,68,91,34
G7,4429,07-08-2025,ORD,FSD,2025-08-07T15:52:00Z,2025-08-07T17:44:00Z,2025-08-07T15:51:00Z,2025-08-07T17:36:00Z,50,CRJ-550,Express,57,78,29
UA,1899,01-08-2025,ORD,YYC,2025-08-01T20:05:00Z,2025-08-01T22:53:00Z,2025-08-01T21:19:00Z,2025-08-01T23:47:00Z,126,A319-100,Mainline,70,102,52
UA,2137,03-08-2025,ORD,SLC,2025-08-03T09:02:00Z,2025-08-03T11:40:00Z,2025-08-03T09:00:00Z,2025-08-03T11:40:00Z,166,B737-800,Mainline,68,76,51
UA,1576,10-08-2025,ORD,LGA,2025-08-10T20:00:00Z,2025-08-10T23:22:00Z,2025-08-10T20:00:00Z,2025-08-10T23:34:00Z,166,B737-800,Mainline,80,73,51
UA,2004,11-08-2025,ORD,SYR,2025-08-11T13:45:00Z,2025-08-11T16:44:00Z,2025-08-11T13:53:00Z,2025-08-11T16:39:00Z,150,A320-200,Mainline,84,102,46
UA,343,02-08-2025,ORD,SFO,2025-08-02T10:53:00Z,2025-08-02T13:40:00Z,2025-08-02T10:52:00Z,2025-08-02T13:23:00Z,200,A321-2NX,Mainline,1079,1115,62
UA,2370,11-08-2025,ORD,BOS,2025-08-11T14:28:00Z,2025-08-11T18:06:00Z,2025-08-11T14:28:00Z,2025-08-11T18:06:00Z,179,B737-900,Mainline,79,69,56
UA,2189,01-08-2025,ORD,LGA,2025-08-01T13:00:00Z,2025-08-01T16:20:00Z,2025-08-01T12:56:00Z,2025-08-01T15:56:00Z,166,B737-MAX8,Mainline,96,94,60
UA,481,12-08-2025,ORD,RNO,2025-08-12T19:52:00Z,2025-08-12T22:19:00Z,2025-08-12T22:01:00Z,2025-08-13T00:27:00Z,126,B737-700,Mainline,95,51,43
UA,1209,15-08-2025,ORD,EWR,2025-08-15T21:25:00Z,2025-08-16T00:46:00Z,2025-08-15T21:30:00Z,2025-08-16T00:46:00Z,179,B737-900,Mainline,67,55,56
UA,2177,15-08-2025,ORD,MSN,2025-08-15T14:00:00Z,2025-08-15T15:03:00Z,2025-08-15T14:30:00Z,2025-08-15T15:36:00Z,126,A319-100,Mainline,9,42,43
UA,909,13-08-2025,ORD,AMS,2025-08-13T18:15:00Z,2025-08-14T09:20:00Z,2025-08-13T18:49:00Z,2025-08-14T09:24:00Z,243,B787-8,Mainline,280,319,95
UA,1584,05-08-2025,ORD,LAX,2025-08-05T10:50:00Z,2025-08-05T13:23:00Z,2025-08-05T10:50:00Z,2025-08-05T13:03:00Z,200,A321-2NX,Mainline,711,739,62
YX,3690,13-08-2025,ORD,IND,2025-08-13T15:40:00Z,2025-08-13T17:53:00Z,2025-08-13T15:31:00Z,2025-08-13T17:36:00Z,76,ERJ-175,Express,57,45,34
YX,3542,15-08-2025,ORD,YUL,2025-08-15T17:58:00Z,2025-08-15T21:29:00Z,2025-08-15T17:53:00Z,2025-08-15T21:27:00Z,76,ERJ-175,Express,53,71,42
OO,4791,14-08-2025,ORD,SBN,2025-08-14T10:35:00Z,2025-08-14T12:33:00Z,2025-08-14T10:27:00Z,2025-08-14T12:20:00Z,50,CRJ-550,Express,56,32,29
UA,2011,11-08-2025,ORD,YVR,2025-08-11T08:48:00Z,2025-08-11T11:33:00Z,2025-08-11T09:00:00Z,2025-08-11T11:29:00Z,150,A320-200,Mainline,67,103,60
UA,1946,15-08-2025,ORD,LGA,2025-08-15T15:00:00Z,2025-08-15T18:20:00Z,2025-08-15T14:59:00Z,2025-08-15T18:15:00Z,166,B737-MAX8,Mainline,105,114,51
OO,5292,02-08-2025,ORD,MTY,2025-08-02T08:45:00Z,2025-08-02T11:41:00Z,2025-08-02T08:41:00Z,2025-08-02T11:46:00Z,76,ERJ-175,Express,756,749,42
UA,845,12-08-2025,ORD,GRU,2025-08-12T21:20:00Z,2025-08-13T09:30:00Z,2025-08-12T23:15:00Z,2025-08-13T11:30:00Z,318,B787-10,Mainline,300,379,155
YX,3525,13-08-2025,ORD,YYZ,2025-08-13T16:43:00Z,2025-08-13T19:37:00Z,2025-08-13T16:41:00Z,2025-08-13T19:31:00Z,76,ERJ-175,Express,58,78,42
UA,2677,06-08-2025,ORD,IAD,2025-08-06T17:56:00Z,2025-08-06T20:55:00Z,2025-08-06T21:10:00Z,2025-08-07T00:23:00Z,176,B757-200,Mainline,231,412,122
UA,767,13-08-2025,ORD,DEN,2025-08-13T21:32:00Z,2025-08-13T23:22:00Z,2025-08-13T22:10:00Z,2025-08-13T23:42:00Z,200,A321-2NX,Mainline,22,64,62
OO,5026,13-08-2025,ORD,JST,2025-08-13T21:05:00Z,2025-08-13T23:55:00Z,2025-08-13T21:18:00Z,2025-08-14T00:08:00Z,50,CRJ-200,Express,40,69,29
OO,5493,05-08-2025,ORD,ATW,2025-08-05T11:05:00Z,2025-08-05T12:18:00Z,2025-08-05T11:01:00Z,2025-08-05T12:08:00Z,50,CRJ-200,Express,106,116,29
G7,4519,06-08-2025,ORD,SCE,2025-08-06T18:20:00Z,2025-08-06T21:24:00Z,2025-08-06T18:08:00Z,2025-08-06T21:04:00Z,50,CRJ-550,Express,70,62,29
OO,4791,04-08-2025,ORD,SBN,2025-08-04T10:35:00Z,2025-08-04T12:33:00Z,2025-08-04T10:30:00Z,2025-08-04T12:20:00Z,50,CRJ-550,Express,56,60,29
UA,592,03-08-2025,ORD,JAC,2025-08-03T16:50:00Z,2025-08-03T19:05:00Z,2025-08-03T16:59:00Z,2025-08-03T18:57:00Z,126,B737-700,Mainline,57,89,43
G7,4590,01-08-2025,ORD,MDT,2025-08-01T16:45:00Z,2025-08-01T19:52:00Z,2025-08-01T16:36:00Z,2025-08-01T19:23:00Z,50,CRJ-550,Express,42,43,29
YX,3464,13-08-2025,ORD,PIT,2025-08-13T21:15:00Z,2025-08-13T23:58:00Z,2025-08-13T21:30:00Z,2025-08-13T23:51:00Z,76,ERJ-175,Express,142,48,39
OO,5963,14-08-2025,ORD,BDL,2025-08-14T14:09:00Z,2025-08-14T17:36:00Z,2025-08-14T14:22:00Z,2025-08-14T17:59:00Z,70,ERJ-175,Express,59,74,34
OO,5447,10-08-2025,ORD,PVD,2025-08-10T11:05:00Z,2025-08-10T14:39:00Z,2025-08-10T10:59:00Z,2025-08-10T14:42:00Z,70,ERJ-175,Express,71,33,34
UA,1495,05-08-2025,ORD,TVC,2025-08-05T19:52:00Z,2025-08-05T22:12:00Z,2025-08-05T19:58:00Z,2025-08-05T22:25:00Z,150,A320-200,Mainline,57,60,46
UA,2100,08-08-2025,ORD,SLC,2025-08-08T13:11:00Z,2025-08-08T15:40:00Z,2025-08-08T13:11:00Z,2025-08-08T15:36:00Z,166,B737-800,Mainline,68,100,51
UA,2640,05-08-2025,ORD,DCA,2025-08-05T15:00:00Z,2025-08-05T18:02:00Z,2025-08-05T14:59:00Z,2025-08-05T17:48:00Z,126,B737-700,Mainline,119,124,51
UA,224,01-08-2025,ORD,BZN,2025-08-01T09:04:00Z,2025-08-01T11:31:00Z,2025-08-01T09:10:00Z,2025-08-01T11:26:00Z,166,B737-800,Mainline,206,84,60
OO,5392,15-08-2025,ORD,OKC,2025-08-15T19:36:00Z,2025-08-15T22:03:00Z,2025-08-15T19:40:00Z,2025-08-15T21:36:00Z,76,ERJ-175,Express,165,130,39
OO,5984,05-08-2025,ORD,BIL,2025-08-05T09:20:00Z,2025-08-05T11:36:00Z,2025-08-05T09:30:00Z,2025-08-05T11:29:00Z,76,ERJ-175,Express,78,28,34
OO,5737,13-08-2025,ORD,OMA,2025-08-13T21:12:00Z,2025-08-13T23:00:00Z,2025-08-13T21:19:00Z,2025-08-13T22:51:00Z,76,ERJ-175,Express,47,74,34
G7,4552,03-08-2025,ORD,DAY,2025-08-03T21:30:00Z,2025-08-03T23:58:00Z,2025-08-03T21:23:00Z,2025-08-03T23:27:00Z,50,CRJ-550,Express,74,57,29
G7,4476,07-08-2025,ORD,CAE,2025-08-07T13:55:00Z,2025-08-07T17:00:00Z,2025-08-07T15:00:00Z,2025-08-07T17:59:00Z,50,CRJ-550,Express,110,209,29
G7,4482,02-08-2025,ORD,TUL,2025-08-02T15:35:00Z,2025-08-02T17:35:00Z,2025-08-02T15:34:00Z,2025-08-02T17:22:00Z,50,CRJ-550,Express,40,51,29
OO,5557,12-08-2025,ORD,OKC,2025-08-12T09:15:00Z,2025-08-12T11:54:00Z,2025-08-12T09:31:00Z,2025-08-12T11:55:00Z,76,ERJ-175,Express,73,63,34
UA,2683,11-08-2025,ORD,SAN,2025-08-11T14:06:00Z,2025-08-11T16:28:00Z,2025-08-11T14:02:00Z,2025-08-11T16:11:00Z,166,B737-800,Mainline,95,114,51
OO,5557,13-08-2025,ORD,OKC,2025-08-13T09:15:00Z,2025-08-13T11:54:00Z,2025-08-13T09:12:00Z,2025-08-13T11:34:00Z,76,ERJ-175,Express,73,87,34
YX,3716,13-08-2025,ORD,CMH,2025-08-13T18:20:00Z,2025-08-13T20:57:00Z,2025-08-13T18:27:00Z,2025-08-13T20:43:00Z,76,ERJ-175,Express,47,53,34
UA,1616,04-08-2025,ORD,GRR,2025-08-04T18:20:00Z,2025-08-04T20:35:00Z,2025-08-04T18:21:00Z,2025-08-04T20:28:00Z,179,B737-900,Mainline,88,85,56
YX,3440,15-08-2025,ORD,YYZ,2025-08-15T07:04:00Z,2025-08-15T09:58:00Z,2025-08-15T06:59:00Z,2025-08-15T09:42:00Z,76,ERJ-175,Express,539,544,42
OO,5836,10-08-2025,ORD,TYS,2025-08-10T10:35:00Z,2025-08-10T13:21:00Z,2025-08-10T12:06:00Z,2025-08-10T14:44:00Z,50,CRJ-550,Express,45,39,29
OO,5493,06-08-2025,ORD,ATW,2025-08-06T11:05:00Z,2025-08-06T12:18:00Z,2025-08-06T10:58:00Z,2025-08-06T12:08:00Z,50,CRJ-200,Express,104,107,29
UA,1775,10-08-2025,ORD,FLL,2025-08-10T10:45:00Z,2025-08-10T15:03:00Z,2025-08-10T10:44:00Z,2025-08-10T14:52:00Z,179,B737-MAX9,Mainline,75,101,56
UA,2653,05-08-2025,ORD,RDU,2025-08-05T10:52:00Z,2025-08-05T13:59:00Z,2025-08-05T10:46:00Z,2025-08-05T14:03:00Z,179,B737-MAX9,Mainline,69,64,56
G7,4552,15-08-2025,ORD,DAY,2025-08-15T21:30:00Z,2025-08-15T23:58:00Z,2025-08-15T21:35:00Z,2025-08-16T00:03:00Z,50,CRJ-550,Express,79,100,29
UA,1599,11-08-2025,ORD,DEN,2025-08-11T08:45:00Z,2025-08-11T10:35:00Z,2025-08-11T08:44:00Z,2025-08-11T10:30:00Z,364,B777-2HD,Mainline,186,177,93
UA,2666,07-08-2025,ORD,DEN,2025-08-07T05:00:00Z,2025-08-07T06:43:00Z,2025-08-07T04:56:00Z,2025-08-07T06:22:00Z,200,A321-2NX,Mainline,470,219,62
YX,3536,11-08-2025,ORD,YUL,2025-08-11T07:15:00Z,2025-08-11T10:40:00Z,2025-08-11T07:10:00Z,2025-08-11T10:28:00Z,76,ERJ-175,Express,735,730,42
YX,3409,07-08-2025,ORD,YOW,2025-08-07T13:56:00Z,2025-08-07T17:06:00Z,2025-08-07T13:53:00Z,2025-08-07T17:16:00Z,76,ERJ-175,Express,50,58,42
G7,4590,14-08-2025,ORD,MDT,2025-08-14T16:45:00Z,2025-08-14T19:52:00Z,2025-08-14T17:51:00Z,2025-08-14T20:23:00Z,50,CRJ-550,Express,-20,45,29
UA,763,01-08-2025,ORD,PWM,2025-08-01T10:58:00Z,2025-08-01T14:24:00Z,2025-08-01T10:55:00Z,2025-08-01T14:00:00Z,166,B737-800,Mainline,79,94,51
UA,2195,08-08-2025,ORD,BDL,2025-08-08T11:06:00Z,2025-08-08T14:24:00Z,2025-08-08T11:01:00Z,2025-08-08T14:11:00Z,166,B737-800,Mainline,63,81,51
UA,1989,12-08-2025,ORD,BOS,2025-08-12T18:20:00Z,2025-08-12T21:59:00Z,2025-08-12T20:32:00Z,2025-08-13T00:13:00Z,179,B737-900,Mainline,70,59,56
OO,5930,10-08-2025,ORD,FAR,2025-08-10T13:20:00Z,2025-08-10T15:29:00Z,2025-08-10T13:25:00Z,2025-08-10T15:50:00Z,50,CRJ-200,Express,107,30,29
UA,1793,12-08-2025,ORD,MSP,2025-08-12T08:50:00Z,2025-08-12T10:31:00Z,2025-08-12T09:29:00Z,2025-08-12T10:57:00Z,150,A320-200,Mainline,78,139,46
UA,2677,05-08-2025,ORD,IAD,2025-08-05T17:56:00Z,2025-08-05T20:55:00Z,2025-08-05T17:52:00Z,2025-08-05T21:02:00Z,176,B757-200,Mainline,246,268,122
OO,5521,01-08-2025,ORD,ATW,2025-08-01T15:35:00Z,2025-08-01T16:48:00Z,2025-08-01T16:36:00Z,2025-08-01T17:41:00Z,50,CRJ-200,Express,-28,59,29
UA,2487,15-08-2025,ORD,PHL,2025-08-15T21:23:00Z,2025-08-16T00:30:00Z,2025-08-15T22:32:00Z,2025-08-16T01:32:00Z,179,B737-900,Mainline,3,49,56
YX,3614,09-08-2025,ORD,MCI,2025-08-09T21:25:00Z,2025-08-09T23:14:00Z,2025-08-09T21:33:00Z,2025-08-09T23:11:00Z,76,ERJ-175,Express,95,95,34
YX,3708,15-08-2025,ORD,BNA,2025-08-15T12:45:00Z,2025-08-15T14:26:00Z,2025-08-15T12:41:00Z,2025-08-15T14:11:00Z,70,ERJ-170,Express,40,47,34
UA,1657,08-08-2025,ORD,LGA,2025-08-08T07:00:00Z,2025-08-08T10:18:00Z,2025-08-08T06:55:00Z,2025-08-08T10:11:00Z,166,B737-800,Mainline,835,784,51
OO,5915,10-08-2025,ORD,LNK,2025-08-10T16:50:00Z,2025-08-10T18:45:00Z,2025-08-10T17:54:00Z,2025-08-10T19:32:00Z,50,CRJ-200,Express,43,46,29
OO,5790,01-08-2025,ORD,CRW,2025-08-01T18:20:00Z,2025-08-01T21:04:00Z,2025-08-01T19:14:00Z,2025-08-01T21:55:00Z,50,CRJ-200,Express,-7,36,29
UA,2427,12-08-2025,ORD,CVG,2025-08-12T18:10:00Z,2025-08-12T20:34:00Z,2025-08-12T18:21:00Z,2025-08-12T22:26:00Z,126,B737-700,Mainline,79,46,43
UA,265,15-08-2025,ORD,YYZ,2025-08-15T17:55:00Z,2025-08-15T20:44:00Z,2025-08-15T17:59:00Z,2025-08-15T20:37:00Z,126,A319-100,Mainline,69,90,52
UA,1996,08-08-2025,ORD,SJU,2025-08-08T08:49:00Z,2025-08-08T14:44:00Z,2025-08-08T08:48:00Z,2025-08-08T14:28:00Z,200,A321-2NX,Mainline,204,224,68
OO,5229,14-08-2025,ORD,ILM,2025-08-14T11:59:00Z,2025-08-14T15:24:00Z,2025-08-14T11:53:00Z,2025-08-14T15:06:00Z,76,ERJ-175,Express,39,53,34
UA,1361,13-08-2025,ORD,STL,2025-08-13T21:20:00Z,2025-08-13T22:45:00Z,2025-08-13T21:27:00Z,2025-08-13T22:37:00Z,126,A319-100,Mainline,69,64,43
UA,1030,09-08-2025,ORD,ABQ,2025-08-09T19:35:00Z,2025-08-09T21:50:00Z,2025-08-09T20:14:00Z,2025-08-09T22:39:00Z,126,A319-100,Mainline,78,70,43
OO,5020,03-08-2025,ORD,FOD,2025-08-03T12:30:00Z,2025-08-03T14:03:00Z,2025-08-03T12:20:00Z,2025-08-03T13:49:00Z,50,CRJ-200,Express,60,59,29
YX,3718,10-08-2025,ORD,MSN,2025-08-10T09:02:00Z,2025-08-10T10:13:00Z,2025-08-10T08:58:00Z,2025-08-10T10:05:00Z,76,ERJ-175,Express,63,81,39
OO,5538,09-08-2025,ORD,HSV,2025-08-09T18:25:00Z,2025-08-09T20:14:00Z,2025-08-09T18:15:00Z,2025-08-09T19:46:00Z,50,CRJ-550,Express,94,38,29
UA,1778,10-08-2025,ORD,OMA,2025-08-10T08:45:00Z,2025-08-10T10:27:00Z,2025-08-10T08:56:00Z,2025-08-10T11:09:00Z,126,A319-100,Mainline,62,37,43
UA,2137,07-08-2025,ORD,SLC,2025-08-07T09:02:00Z,2025-08-07T11:40:00Z,2025-08-07T09:01:00Z,2025-08-07T11:22:00Z,166,B737-800,Mainline,957,929,51
UA,2137,13-08-2025,ORD,SLC,2025-08-13T09:02:00Z,2025-08-13T11:40:00Z,2025-08-13T09:18:00Z,2025-08-13T11:56:00Z,166,B737-800,Mainline,68,106,51
UA,2427,05-08-2025,ORD,CVG,2025-08-05T18:10:00Z,2025-08-05T20:34:00Z,2025-08-05T18:08:00Z,2025-08-05T20:40:00Z,126,B737-700,Mainline,84,104,43
G7,4482,11-08-2025,ORD,TUL,2025-08-11T15:35:00Z,2025-08-11T18:22:00Z,2025-08-11T15:47:00Z,2025-08-11T18:22:00Z,50,CRJ-550,Express,-36,78,29
UA,1304,05-08-2025,ORD,LAS,2025-08-05T11:29:00Z,2025-08-05T13:28:00Z,2025-08-05T11:44:00Z,2025-08-05T13:41:00Z,179,B737-MAX9,Mainline,18,59,56
OO,5250,15-08-2025,ORD,BNA,2025-08-15T17:50:00Z,2025-08-15T19:39:00Z,2025-08-15T17:49:00Z,2025-08-15T19:21:00Z,76,ERJ-175,Express,65,55,34
UA,2666,10-08-2025,ORD,DEN,2025-08-10T05:00:00Z,2025-08-10T06:43:00Z,2025-08-10T04:56:00Z,2025-08-10T06:55:00Z,200,A321-2NX,Mainline,515,477,62
OO,5568,02-08-2025,ORD,MLI,2025-08-02T09:07:00Z,2025-08-02T10:22:00Z,2025-08-02T09:00:00Z,2025-08-02T10:20:00Z,50,CRJ-200,Express,72,73,29
OO,5849,09-08-2025,ORD,PWM,2025-08-09T13:55:00Z,2025-08-09T17:37:00Z,2025-08-09T13:53:00Z,2025-08-09T17:34:00Z,76,ERJ-175,Express,117,56,34
UA,763,12-08-2025,ORD,PWM,2025-08-12T10:58:00Z,2025-08-12T14:24:00Z,2025-08-12T10:56:00Z,2025-08-12T14:14:00Z,166,B737-800,Mainline,209,214,51
YX,3465,05-08-2025,ORD,GSP,2025-08-05T17:55:00Z,2025-08-05T21:00:00Z,2025-08-05T18:11:00Z,2025-08-05T21:06:00Z,76,ERJ-175,Express,64,49,34
UA,476,07-08-2025,ORD,CVG,2025-08-07T10:53:00Z,2025-08-07T13:14:00Z,2025-08-07T10:51:00Z,2025-08-07T13:08:00Z,150,A320-200,Mainline,66,62,46
UA,2254,08-08-2025,ORD,PDX,2025-08-08T09:10:00Z,2025-08-08T11:43:00Z,2025-08-08T09:03:00Z,2025-08-08T11:41:00Z,200,A321-2NX,Mainline,535,534,62
UA,2427,15-08-2025,ORD,CVG,2025-08-15T18:10:00Z,2025-08-15T20:34:00Z,2025-08-15T18:39:00Z,2025-08-15T21:06:00Z,126,B737-700,Mainline,71,44,43
UA,1491,03-08-2025,ORD,DFW,2025-08-03T10:35:00Z,2025-08-03T13:14:00Z,2025-08-03T10:35:00Z,2025-08-03T14:03:00Z,150,A320-200,Mainline,159,166,46
YX,3628,04-08-2025,ORD,IND,2025-08-04T17:50:00Z,2025-08-04T20:03:00Z,2025-08-04T17:51:00Z,2025-08-04T19:54:00Z,76,ERJ-175,Express,59,52,34
